id,entity,claim_type
141,Entity_024,Number of Offices
400,Entity_037,Number of Offices
76,Entity_041,Main Competitor
124,Entity_040,Annual Revenue (USD Millions)
414,Entity_039,Research Lab Location
437,Entity_041,CEO
164,Entity_046,Subscription Price (USD)
410,Entity_026,Support Email
184,Entity_019,Recent Award
487,Entity_023,Regional HQ
25,Entity_007,Headquarters Neighborhood
363,Entity_021,Manufacturing Site
345,Entity_050,Public Listing Year
111,Entity_003,Core Technology
260,Entity_044,Major Client
226,Entity_023,Regional HQ
389,Entity_019,Subscription Price (USD)
28,Entity_010,Regional HQ
65,Entity_042,Flagship Product
310,Entity_047,Subscription Price (USD)
382,Entity_032,Annual Revenue (USD Millions)
191,Entity_005,Research Lab Location
51,Entity_040,Last Funding Round Year
50,Entity_042,Founded Year
101,Entity_024,Annual Revenue (USD Millions)
88,Entity_043,Partner Organization
247,Entity_011,Manufacturing Site
494,Entity_014,Product Launch Year
23,Entity_042,Customer Satisfaction (score)
446,Entity_040,Regional HQ
304,Entity_037,Support Email
176,Entity_027,Main Competitor
145,Entity_049,Flagship Product
392,Entity_031,Annual Revenue (USD Millions)
162,Entity_031,Manufacturing Site
126,Entity_029,Primary Market
495,Entity_035,Employee Count (approx)
480,Entity_021,Subscription Price (USD)
326,Entity_011,Flagship Product
159,Entity_022,Major Client
180,Entity_035,CEO
268,Entity_044,Default Currency
205,Entity_049,Tagline
277,Entity_048,Flagship Product
133,Entity_050,Annual Revenue (USD Millions)
249,Entity_029,Founder
87,Entity_042,Manufacturing Site
297,Entity_041,Flagship Product
314,Entity_009,Tagline
362,Entity_039,Headquarters Neighborhood
372,Entity_016,Headquarters Neighborhood
442,Entity_047,Founder
350,Entity_002,Subscription Price (USD)
286,Entity_008,Headquarters Neighborhood
459,Entity_004,Manufacturing Site
307,Entity_040,Founded Year
74,Entity_044,Last Funding Round Year
67,Entity_046,Default Currency
183,Entity_046,Headquarters Neighborhood
491,Entity_023,Default Currency
481,Entity_023,Number of Offices
418,Entity_046,Tagline
293,Entity_036,Number of Offices
1,Entity_037,Partner Organization
7,Entity_040,Default Currency
10,Entity_007,Primary Market
241,Entity_019,Tagline
413,Entity_010,Product Launch Year
150,Entity_029,Support Email
322,Entity_009,Recent Award
283,Entity_014,Last Funding Round Year
265,Entity_024,Partner Organization
497,Entity_018,Headquarters Neighborhood
390,Entity_039,Customer Satisfaction (score)
22,Entity_023,Slogan
59,Entity_039,Subscription Price (USD)
383,Entity_032,CEO
317,Entity_044,Research Lab Location
292,Entity_046,Founded Year
44,Entity_004,Support Email
94,Entity_009,Core Technology
360,Entity_031,Default Currency
330,Entity_006,Employee Count (approx)
125,Entity_049,Slogan
416,Entity_003,Founder
305,Entity_030,Major Client
43,Entity_018,Public Listing Year
303,Entity_024,Number of Offices
441,Entity_037,Primary Market
296,Entity_046,Manufacturing Site
222,Entity_035,Subscription Price (USD)
109,Entity_050,Number of Offices
215,Entity_046,Regional HQ
448,Entity_044,Primary Market
117,Entity_045,Regional HQ
483,Entity_019,Headquarters
243,Entity_021,Core Technology
151,Entity_002,Recent Award
316,Entity_029,Default Currency
73,Entity_050,Tagline
377,Entity_021,Public Listing Year
130,Entity_013,Support Email
163,Entity_009,Regional HQ
396,Entity_047,Support Email
493,Entity_048,Subscription Price (USD)
41,Entity_031,Default Currency
231,Entity_026,Slogan
447,Entity_025,Headquarters Neighborhood
284,Entity_019,Manufacturing Site
445,Entity_041,Slogan
374,Entity_019,Partner Organization
171,Entity_034,Recent Award
64,Entity_006,Research Lab Location
431,Entity_031,Customer Satisfaction (score)
156,Entity_015,CEO
373,Entity_007,Founder
34,Entity_049,Public Listing Year
333,Entity_009,Main Competitor
463,Entity_031,Research Lab Location
420,Entity_030,Headquarters Neighborhood
434,Entity_008,Recent Award
453,Entity_027,Headquarters Neighborhood
200,Entity_005,Support Email
167,Entity_002,Employee Count (approx)
246,Entity_046,Recent Award
485,Entity_035,Partner Organization
252,Entity_018,Main Competitor
201,Entity_016,Slogan
102,Entity_012,Product Launch Year
381,Entity_033,Default Currency
157,Entity_021,Headquarters
425,Entity_040,Slogan
290,Entity_044,Tagline
257,Entity_048,Core Technology
456,Entity_033,Regional HQ
406,Entity_018,Customer Satisfaction (score)
300,Entity_013,Major Client
86,Entity_023,Annual Revenue (USD Millions)
54,Entity_036,Major Client
123,Entity_016,Default Currency
221,Entity_033,Partner Organization
308,Entity_005,Annual Revenue (USD Millions)
449,Entity_003,Public Listing Year
11,Entity_028,Public Listing Year
432,Entity_002,Support Email
325,Entity_010,Annual Revenue (USD Millions)
14,Entity_020,Slogan
498,Entity_007,Last Funding Round Year
182,Entity_037,Primary Market
295,Entity_011,Manufacturing Site
393,Entity_035,CEO
496,Entity_036,Manufacturing Site
21,Entity_050,Support Email
323,Entity_033,Founder
423,Entity_040,Tagline
337,Entity_011,Public Listing Year
288,Entity_012,Manufacturing Site
100,Entity_024,CEO
35,Entity_029,Core Technology
136,Entity_027,Flagship Product
187,Entity_037,Recent Award
358,Entity_004,Flagship Product
207,Entity_023,Number of Offices
144,Entity_019,Founded Year
399,Entity_026,Founder
460,Entity_009,Research Lab Location
419,Entity_031,Research Lab Location
175,Entity_004,Primary Market
467,Entity_035,Support Email
475,Entity_020,Primary Market
122,Entity_044,Slogan
138,Entity_039,Headquarters Neighborhood
48,Entity_004,Support Email
256,Entity_033,Major Client
351,Entity_041,Number of Offices
39,Entity_021,Headquarters Neighborhood
105,Entity_015,Headquarters Neighborhood
107,Entity_019,Major Client
285,Entity_032,Product Launch Year
135,Entity_033,Research Lab Location
98,Entity_042,Core Technology
435,Entity_038,Annual Revenue (USD Millions)
469,Entity_047,Core Technology
89,Entity_009,Last Funding Round Year
403,Entity_005,Partner Organization
261,Entity_029,Founder
220,Entity_021,Annual Revenue (USD Millions)
110,Entity_048,Research Lab Location
174,Entity_020,Headquarters
161,Entity_003,Annual Revenue (USD Millions)
397,Entity_049,Partner Organization
356,Entity_020,Default Currency
357,Entity_005,Manufacturing Site
143,Entity_034,Headquarters
16,Entity_022,Regional HQ
484,Entity_037,Core Technology
324,Entity_008,Research Lab Location
318,Entity_023,Headquarters Neighborhood
57,Entity_037,Main Competitor
376,Entity_016,Flagship Product
248,Entity_029,Support Email
37,Entity_041,Last Funding Round Year
78,Entity_022,Headquarters
273,Entity_024,Partner Organization
83,Entity_010,Tagline
232,Entity_029,Partner Organization
198,Entity_048,CEO
348,Entity_037,Recent Award
211,Entity_030,Manufacturing Site
366,Entity_009,Regional HQ
470,Entity_042,Major Client
188,Entity_012,Core Technology
